,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1279,INFOSYSTCH,EQ,04-Feb-2005,2101.35,2115.0,2119.8,2077.5,2085.5,2085.4,2091.53,598786,1252378236.45,-,167598,27.99
1280,INFOSYSTCH,EQ,07-Feb-2005,2085.4,2080.0,2105.0,2020.0,2040.05,2029.95,2041.28,1943090,3966393659.1,-,796149,40.97
1281,INFOSYSTCH,EQ,08-Feb-2005,2029.95,2060.0,2060.0,2025.0,2047.2,2043.6,2036.93,1085279,2210635777.2,-,427291,39.37
1282,INFOSYSTCH,EQ,09-Feb-2005,2043.6,2050.0,2064.4,2038.05,2041.7,2045.0,2049.52,517138,1059883877.1,-,162146,31.35
1283,INFOSYSTCH,EQ,10-Feb-2005,2045.0,2055.0,2055.0,2025.55,2046.7,2044.4,2039.23,464726,947683350.05,-,170216,36.63
1284,INFOSYSTCH,EQ,11-Feb-2005,2044.4,2070.0,2107.7,2070.0,2101.0,2103.6,2091.9,1157691,2421775688.65,-,567352,49.01
1285,INFOSYSTCH,EQ,14-Feb-2005,2103.6,2120.0,2179.7,2120.0,2167.0,2169.65,2169.98,1315304,2854188428.45,-,835081,63.49
1286,INFOSYSTCH,EQ,15-Feb-2005,2169.65,2170.0,2188.0,2145.0,2185.0,2181.9,2166.03,971239,2103735605.8,-,378246,38.94
1287,INFOSYSTCH,EQ,16-Feb-2005,2181.9,2184.0,2205.5,2170.0,2172.8,2183.65,2192.08,1047327,2295828358.9,-,532951,50.89
1288,INFOSYSTCH,EQ,17-Feb-2005,2183.65,2170.0,2179.8,2135.2,2177.8,2173.95,2152.48,1095545,2358143237.65,-,440338,40.19
1289,INFOSYSTCH,EQ,18-Feb-2005,2173.95,2170.0,2183.65,2101.0,2162.7,2164.7,2166.94,404461,876443519.85,-,120183,29.71
1290,INFOSYSTCH,EQ,21-Feb-2005,2164.7,2162.0,2165.0,2130.0,2130.2,2143.9,2151.49,500467,1076751459.4,-,203556,40.67
1291,INFOSYSTCH,EQ,22-Feb-2005,2143.9,2149.0,2175.0,2103.7,2170.0,2161.0,2141.54,514552,1101931898.25,-,139274,27.07
1292,INFOSYSTCH,EQ,23-Feb-2005,2161.0,2152.7,2155.0,2135.0,2143.7,2140.6,2141.51,476471,1020367732.9,-,206755,43.39
1293,INFOSYSTCH,EQ,24-Feb-2005,2140.6,2145.0,2175.0,2140.0,2171.0,2164.3,2156.74,841927,1815816166.65,-,436609,51.86
1294,INFOSYSTCH,EQ,25-Feb-2005,2164.3,2155.35,2186.0,2155.35,2178.0,2179.45,2175.98,659015,1434005983.0,-,359138,54.5
1295,INFOSYSTCH,EQ,28-Feb-2005,2179.45,2209.0,2247.95,2153.05,2246.5,2240.1,2207.75,1092410,2411767123.05,-,332798,30.46
1296,INFOSYSTCH,EQ,01-Mar-2005,2240.1,2240.0,2240.0,2175.0,2175.5,2181.25,2191.42,735018,1610732970.95,-,199751,27.18
1297,INFOSYSTCH,EQ,02-Mar-2005,2181.25,2182.0,2205.0,2150.05,2199.0,2187.05,2181.07,942219,2055041041.6,-,427963,45.42
1298,INFOSYSTCH,EQ,03-Mar-2005,2187.05,2181.0,2227.0,2181.0,2222.3,2214.45,2199.91,936420,2060041900.05,-,484494,51.74
1299,INFOSYSTCH,EQ,04-Mar-2005,2214.45,2215.25,2249.8,2215.0,2228.7,2234.2,2234.64,781056,1745381037.9,-,305770,39.15
1300,INFOSYSTCH,EQ,07-Mar-2005,2234.2,2235.0,2262.0,2222.55,2248.1,2252.1,2243.46,765755,1717942889.95,-,363334,47.45
1301,INFOSYSTCH,EQ,08-Mar-2005,2252.1,2250.0,2282.7,2240.0,2263.0,2264.1,2264.78,672332,1522681195.65,-,228662,34.01
1302,INFOSYSTCH,EQ,09-Mar-2005,2264.1,2250.0,2272.8,2226.3,2248.8,2251.9,2249.3,541886,1218862477.75,-,141930,26.19
1303,INFOSYSTCH,EQ,10-Mar-2005,2251.9,2250.0,2250.0,2195.0,2230.1,2232.05,2219.71,829120,1840407506.6,-,345424,41.66
1304,INFOSYSTCH,EQ,11-Mar-2005,2232.05,2240.0,2250.0,2205.25,2210.0,2214.65,2224.5,620165,1379559144.0,-,267661,43.16
1305,INFOSYSTCH,EQ,14-Mar-2005,2214.65,2210.0,2241.0,2190.0,2216.0,2226.15,2215.55,657213,1456089114.4,-,290402,44.19
1306,INFOSYSTCH,EQ,15-Mar-2005,2226.15,2200.0,2229.8,2160.0,2204.05,2210.8,2216.88,391768,868503835.7,-,141826,36.2
1307,INFOSYSTCH,EQ,16-Mar-2005,2210.8,2196.0,2224.7,2186.1,2190.05,2193.1,2203.53,668346,1472718930.15,-,314744,47.09
1308,INFOSYSTCH,EQ,17-Mar-2005,2193.1,2195.0,2203.95,2171.1,2175.0,2181.1,2192.17,513507,1125694104.0,-,199771,38.9
1309,INFOSYSTCH,EQ,18-Mar-2005,2181.1,2184.7,2205.0,2144.95,2205.0,2199.95,2183.82,966091,2109771680.65,-,455315,47.13
1310,INFOSYSTCH,EQ,21-Mar-2005,2199.95,2209.0,2248.8,2195.0,2219.8,2236.55,2229.15,927593,2067742503.25,-,474605,51.17
1311,INFOSYSTCH,EQ,22-Mar-2005,2236.55,2259.0,2260.0,2200.0,2215.0,2223.75,2232.71,836551,1867776316.0,-,407319,48.69
1312,INFOSYSTCH,EQ,23-Mar-2005,2223.75,2217.5,2223.8,2151.3,2163.5,2162.4,2186.98,749135,1638345479.55,-,278985,37.24
1313,INFOSYSTCH,EQ,24-Mar-2005,2162.4,2170.0,2188.5,2150.0,2166.0,2159.1,2161.14,785921,1698482890.7,-,314734,40.05
1314,INFOSYSTCH,EQ,28-Mar-2005,2159.1,2175.0,2216.95,2167.0,2177.7,2186.0,2194.42,625894,1373472313.1,-,250538,40.03
1315,INFOSYSTCH,EQ,29-Mar-2005,2186.0,2188.0,2188.0,2150.0,2180.0,2166.6,2163.86,526226,1138676972.8,-,233209,44.32
1316,INFOSYSTCH,EQ,30-Mar-2005,2166.6,2155.05,2190.0,2142.0,2184.7,2170.3,2163.1,608331,1315880754.75,-,231804,38.1
1317,INFOSYSTCH,EQ,31-Mar-2005,2170.3,2224.7,2315.0,2188.1,2260.0,2257.2,2231.36,1120777,2500856562.65,-,549621,49.04
